SOURCE_ID,DS_Subcat,Rainfall_Z,Area_v2,modflow id,Raupare,Ngaruroro,Karamu,Mangateretere,Tutaekuri-Waimate,Tutaekuri,Tukituki,Irongate,Karewarewa,Karamu gain,Ngaruroro major,Ngaruroro variable
1,2,4,114261788.2,49,,,,,,,,,,,,
2,3,3,62503161.89,,,,,,,,,,,,,
3,6,2,36224758.62,,,,,,,,,,,,,
4,6,3,24512249.98,,,,,,,,,,,,,
5,6,3,45330727.14,,,,,,,,,,,,,
6,18,2,54110960.84,,,,,,,,,,,,,
7,9,5,22759925.02,,,,,,,,,,,,,
8,9,5,22940074,,,,,,,,,,,,,
9,10,4,45742741.62,,,,,,,,,,,,,
10,17,3,28529508.62,,,,,,,,,,,,,
11,13,5,26922207.41,,,,,,,,,,,,,
12,13,5,35052867.32,,,,,,,,,,,,,
13,15,5,38461150.12,,,,,,,,,,,,,
14,15,3,46511206.15,,,,,,,,,,,,,
15,17,4,35167493.03,,,,,,,,,,,,,
16,17,2,58322601.96,,,,,,,,,,,,,
17,18,2,16923397.73,,,,,,,,,,,,,
18,21,2,37948675.34,,,,,,,1,,,,,,
19,21,1,14682464.05,,,,,,,,,,,,,
20,21,1,6304905.86,,,,,,,,,,,,,
21,25,1,10744775.38,16,,,,,,1,,,,,,
22,25,1,4545219.059,,,,,,,,,,,,,
23,25,1,8959780.051,,,,,,,,,,,,,
24,25,1,8093365.33,37,,,,,,1,,,,,,
25,135,1,20310738.17,25,,,,,,1,,,,,,
26,135,1,1724684.925,47,,,,,,,,,,,,
27,28,5,116455387.5,,,1,,,,,,,,,,
28,29,5,100099430.2,,,1,,,,,,,,,,
29,30,5,117130276,,,1,,,,,,,,,,
30,32,5,51254987.65,,,1,,,,,,,,,,
31,32,5,18301794.4,,,1,,,,,,,,,,
32,33,5,36878821.27,,,1,,,,,,,,,,
33,46,3,41879760.05,,,1,,,,,,,,,,
34,35,5,57948867.39,,,1,,,,,,,,,,
35,36,5,66122094.17,,,1,,,,,,,,,,
36,39,4,22309711.73,,,1,,,,,,,,,,
37,39,4,39554890.49,,,1,,,,,,,,,,
38,39,3,9912231.001,,,1,,,,,,,,,,
39,41,2,39874579.37,,,1,,,,,,,,,,
40,41,4,13008575.53,,,1,,,,,,,,,,
41,42,2,14376848.39,,,1,,,,,,,,,,
42,46,2,45597016.78,,,1,,,,,,,,,,
43,46,2,37606960.76,,,1,,,,,,,,,,
44,45,5,61029684.78,,,1,,,,,,,,,,
45,46,3,57991233.24,,,1,,,,,,,,,,
46,48,3,75139259.72,,,1,,,,,,,,,,
47,48,3,73579074.45,,,1,,,,,,,,,,
48,61,3,15401927.64,,,1,,,,,,,,,,
49,61,2,9567091.95,,,1,,,,,,,,,,
50,61,2,1813929.538,,,1,,,,,,,,,,
51,52,5,58994054.96,,,1,,,,,,,,,,
52,53,4,29120197.63,,,1,,,,,,,,,,
53,56,3,69803869.17,,,1,,,,,,,,,,
54,56,3,85894995.36,,,1,,,,,,,,,,
55,56,2,7756376.458,,,1,,,,,,,,,,
56,61,2,4297769.603,,,1,,,,,,,,,,
57,58,3,62208329.84,,,1,,,,,,,,,,
58,61,2,439416.392,,,1,,,,,,,,,,
59,61,1,2001939.673,,,1,,,,,,,,,,
60,61,1,8420483.842,,,1,,,,,,,,,,
61,66,2,"17,629,654.22",2,,1,,,,,,,,,,
62,66,1,791898.327,,,1,,,,,,,,,,
63,65,1,52456710.29,,,1,,,,,,,,,,
64,65,1,19908814.91,,,1,,,,,,,,,,
65,66,1,3966324.905,5,,1,,,,,,,,,,
66,89,1,22024765.92,4,,1,,,,,,,,,,
67,71,1,4966945.436,,,1,,,,,,,,,,
68,71,1,5931003.582,7,,1,,,,,,,,,,
69,71,1,94961917.55,,,1,,,,,,,,,,
70,71,1,5838473.817,,,1,,,,,,,,,,
71,76,1,13018724.43,6,,1,,,,,,,,,,
72,73,2,30718578.3,,,1,,,,,,,,,,
73,74,1,16200384.74,,,1,,,,,,,,,,
74,76,1,18989986.55,3,,1,,,,,,,,,,
75,76,1,1366627.191,,,1,,,,,,,,,,
76,94,1,13962815.93,10,,1,,,,,,,,,1,
77,76,1,2119477.347,,,1,,,,,,,,,,
78,82,1,4123148.061,,,1,,,,,,,,,,
79,82,1,24458457.27,,,1,,,,,,,,,,
80,82,1,8430535.932,,,1,,,,,,,,,,
81,82,1,9053729.933,,,1,,,,,,,,,,
82,76,1,5315457.264,13,,1,,,,,,,,,,
83,76,1,562795.429,,,1,,,,,,,,,,
84,88,1,82819448.68,,,1,,,,,,,,,,
85,88,1,7950830.669,,,1,,,,,,,,,,
86,88,1,6527241.258,,,1,,,,,,,,,,
87,88,1,623946.889,,,1,,,,,,,,,,
88,76,1,7084367.771,18,,1,,,,,,,,,,
89,76,1,5381068.944,8,,1,,,,,,,,,,
90,93,1,11373766.69,,,1,,,,,,,,,,
91,93,1,5596757.734,,,1,,,,,,,,,,
92,93,1,3855047.593,,,1,,,,,,,,,,
93,94,1,31276366.52,19,,,,,1,,,,,,,
94,96,1,4997376.843,20,,,,,,,,,,,,1
95,96,1,11326649.2,32,,,,,,,,,,,,
96,135,1,2269584.586,38,,,,,,,,,,,,
97,98,1,27220956.33,,,,1,,,,,,,,,
98,99,1,1347868.037,9,,,1,,,,,,,,,
99,104,1,5486719.796,11,,,1,,,,,,,,,
100,102,1,47867955.67,,,,1,,,,,,,,,
101,102,1,6114447.904,,,,1,,,,,,,,,
102,104,1,6282002.803,12,,,1,,,,,,,,,
103,104,1,1653197.076,,,,1,,,,,,,,,
104,107,1,33234116.37,14,,,1,,,,,,1,,,
105,107,1,15014431.93,,,,1,,,,,,,,,
106,107,1,7843536.767,,,,1,,,,,,,,,
107,111,1,14744263.25,15,,,1,,,,,,,,,
108,104,1,3011943.837,,,,1,,,,,,,,,
109,110,1,26948331.09,17,,,1,,,,,1,,,,
110,119,1,19592816.14,21,,,1,,,,,1,,,,
111,119,1,11043077.1,24,,,1,,,,,,,,,
112,119,1,10225306.17,26,,,1,,,,,,,,,
113,114,1,24548745.21,,,,1,,,,,,,,,
114,119,1,9079610.498,23,,,1,,,,,,,,,
115,116,1,8011147.486,,,,1,,,,,,,,,
116,119,1,1627229.837,34,,,1,,,,,,,,,
117,118,1,9190976.778,,,,1,,,,,,,,,
118,119,1,1546259.363,36,,,1,,,,,,,,,
119,127,1,2317720.993,31,,,1,,,,,,,,,
120,121,1,4667210.639,,,,1,,,,,,,,,
121,127,1,3303277.319,42,,,1,,,,,,,,,
122,123,1,539541.562,,,,1,,,,,,,,,
123,127,1,7159696.7,43,,,1,1,,,,,,,,
124,127,1,6946857.906,33,,,1,,,,,,,,,
125,127,1,4967680.93,29,,,1,,,,,,,,,
126,127,1,6554421.397,28,,,1,,,,,,,,,
127,134,1,7010060.157,35,,,1,,,,,,,1,,
128,129,1,17224220.34,22,1,,,,,,,,,,,
129,134,1,8630495.929,27,,,,,,,,,,,,
130,134,1,7700563.986,41,,,,,,,,,,,,
131,134,1,3119313.637,40,,,,,,,,,,,,
132,107,1,24437767.76,,,,1,,,,,,,,,
133,96,1,2423176.53,44,,,,,,,,,,,,
134,135,1,2212588.678,39,,,,,,,,,,,,
135,0,1,1448184.649,48,,,,,,,,,,,,
136,135,1,6436632.189,46,,,,,,,,,,,,
137,25,1,4208511.022,,,,,,,,,,,,,
0,,,,1,,,,,,,,,,,,
201,,,,45,,,,,,,1,,,,,
202,,,,30,,,,,,,,,,,,
